distance_km,mode,mode_code,hour_of_day,is_peak,transfers,fare_lkr
183.02,train,3,8,1,0,984.0
185.21,bus,2,5,0,2,1257.0
217.07,train,3,12,0,0,1273.0
130.56,bus,2,15,0,1,797.0
0.21,walk,0,6,0,0,0.0
56.01,taxi,4,18,1,0,8651.0
78.42,train,3,15,0,0,570.0
72.74,train,3,3,0,0,442.0
7.01,tuk,1,22,0,0,947.0
206.55,bus,2,1,0,0,1373.0
163.86,bus,2,15,0,2,993.0
33.3,train,3,10,0,0,266.0
78.09,bus,2,15,0,0,571.0
122.72,train,3,18,1,1,922.0
34.48,bus,2,16,0,0,256.0
12.86,tuk,1,15,0,0,1615.0
164.28,bus,2,20,0,1,949.0
1.96,walk,0,16,0,0,0.0
317.41,train,3,19,1,0,1584.0
44.32,bus,2,9,1,1,348.0
349.23,train,3,4,0,0,1763.0
206.19,bus,2,5,0,1,1421.0
107.04,taxi,4,14,0,0,15727.0
349.38,train,3,12,0,2,2070.0
345.19,train,3,1,0,0,1691.0
15.48,tuk,1,4,0,0,1838.0
106.74,bus,2,23,0,0,636.0
1.48,walk,0,17,1,0,0.0
16.97,tuk,1,18,1,0,1810.0
31.09,bus,2,4,0,0,187.0
317.14,train,3,1,0,0,1746.0
133.61,taxi,4,6,0,0,20198.0
0.55,tuk,1,20,0,0,190.0
145.29,bus,2,12,0,0,983.0
177.67,bus,2,18,1,0,870.0
6.68,tuk,1,11,0,0,870.0
10.8,tuk,1,11,0,0,1146.0
191.63,bus,2,14,0,1,1028.0
8.74,tuk,1,23,0,0,1163.0
234.12,bus,2,10,0,0,1487.0
159.96,bus,2,14,0,0,860.0
149.53,train,3,22,0,0,774.0
320.35,train,3,8,1,1,1963.0
17.09,tuk,1,20,0,0,1691.0
181.59,train,3,12,0,0,966.0
151.8,train,3,21,0,0,871.0
208.41,bus,2,11,0,0,1070.0
11.27,tuk,1,15,0,0,1358.0
129.82,bus,2,7,1,0,745.0
8.98,tuk,1,15,0,0,1125.0
5.1,tuk,1,7,1,0,680.0
1.13,walk,0,14,0,0,0.0
293.35,train,3,18,1,0,1422.0
18.91,bus,2,10,0,0,155.0
104.09,train,3,10,0,0,635.0
127.02,train,3,7,1,0,758.0
112.89,bus,2,17,1,0,690.0
204.98,bus,2,14,0,1,1276.0
13.07,tuk,1,12,0,0,1411.0
17.21,tuk,1,0,0,0,1806.0
212.94,bus,2,2,0,0,1094.0
90.23,bus,2,0,0,0,630.0
73.9,bus,2,20,0,0,480.0
342.55,train,3,20,0,0,1534.0
238.39,bus,2,1,0,0,1255.0
54.38,bus,2,1,0,1,397.0
59.63,bus,2,18,1,0,443.0
11.04,tuk,1,12,0,0,1223.0
1.05,walk,0,7,1,0,0.0
48.33,bus,2,14,0,0,382.0
17.58,tuk,1,5,0,0,1893.0
52.8,bus,2,4,0,1,413.0
244.84,train,3,8,1,0,1542.0
3.09,tuk,1,21,0,0,461.0
0.58,walk,0,18,1,0,0.0
11.3,tuk,1,4,0,0,1255.0
13.36,tuk,1,13,0,0,1649.0
163.81,bus,2,21,0,0,900.0
55.68,bus,2,22,0,1,449.0
339.0,train,3,18,1,0,1879.0
87.7,bus,2,3,0,0,570.0
219.68,bus,2,5,0,0,1278.0
107.68,train,3,5,0,0,591.0
11.17,tuk,1,3,0,0,1381.0
1.02,walk,0,4,0,0,0.0
0.6,walk,0,7,1,0,0.0
280.34,train,3,13,0,0,1709.0
155.15,bus,2,9,1,0,947.0
9.55,tuk,1,10,0,0,1004.0
149.25,bus,2,5,0,0,724.0
2.13,tuk,1,3,0,0,348.0
163.81,bus,2,23,0,1,1180.0
12.21,bus,2,14,0,0,139.0
78.02,bus,2,5,0,0,515.0
18.26,tuk,1,19,1,0,1866.0
98.95,bus,2,19,1,0,515.0
79.74,bus,2,23,0,0,564.0
1.91,walk,0,3,0,0,0.0
4.16,tuk,1,15,0,0,605.0
78.81,taxi,4,23,0,0,11582.0
62.23,train,3,19,1,0,526.0
221.79,bus,2,5,0,0,1261.0
8.19,tuk,1,21,0,0,1039.0
127.6,taxi,4,10,0,0,17846.0
162.53,train,3,11,0,0,883.0
38.45,train,3,13,0,0,314.0
61.07,bus,2,18,1,0,363.0
12.15,tuk,1,2,0,0,1324.0
0.89,walk,0,12,0,0,0.0
111.13,train,3,19,1,1,789.0
19.34,bus,2,13,0,1,218.0
2.54,tuk,1,6,0,0,442.0
5.56,tuk,1,1,0,0,738.0
44.39,bus,2,13,0,1,424.0
1.34,tuk,1,16,0,0,297.0
190.86,train,3,13,0,0,1225.0
336.05,train,3,23,0,1,1798.0
325.52,train,3,14,0,1,1665.0
237.05,bus,2,12,0,0,1394.0
28.01,bus,2,1,0,1,235.0
122.39,bus,2,13,0,0,772.0
73.12,bus,2,4,0,0,488.0
1.65,walk,0,17,1,0,0.0
210.82,bus,2,3,0,0,1338.0
0.79,walk,0,21,0,0,0.0
5.55,bus,2,7,1,0,87.0
12.7,tuk,1,10,0,0,1352.0
18.97,tuk,1,3,0,0,2085.0
10.0,tuk,1,5,0,0,1155.0
240.72,bus,2,22,0,0,1327.0
6.73,tuk,1,6,0,0,720.0
158.86,train,3,12,0,0,996.0
105.6,bus,2,23,0,1,799.0
14.45,tuk,1,14,0,0,1798.0
174.59,bus,2,0,0,0,1188.0
1.88,walk,0,8,1,0,0.0
90.35,taxi,4,9,1,0,13905.0
178.86,bus,2,6,0,1,1017.0
268.24,train,3,5,0,1,1304.0
0.34,walk,0,12,0,0,0.0
245.21,bus,2,9,1,0,1288.0
246.25,bus,2,7,1,0,1251.0
346.34,train,3,9,1,0,1571.0
35.85,bus,2,8,1,1,326.0
30.0,bus,2,5,0,0,224.0
1.37,tuk,1,10,0,0,319.0
10.82,tuk,1,22,0,0,1257.0
53.77,bus,2,12,0,0,399.0
11.4,bus,2,14,0,0,131.0
0.66,walk,0,23,0,0,0.0
102.16,train,3,14,0,1,662.0
210.09,train,3,5,0,0,1253.0
11.79,tuk,1,9,1,0,1476.0
236.34,bus,2,11,0,0,1467.0
9.08,tuk,1,11,0,0,1120.0
201.07,bus,2,3,0,1,1185.0
1.36,tuk,1,2,0,0,277.0
74.24,bus,2,8,1,0,414.0
210.49,train,3,21,0,0,1259.0
186.8,train,3,17,1,0,1165.0
19.49,tuk,1,20,0,0,2312.0
95.8,train,3,4,0,0,584.0
4.84,tuk,1,9,1,0,668.0
1.41,walk,0,13,0,0,0.0
244.15,bus,2,10,0,0,1616.0
150.11,bus,2,10,0,0,987.0
206.51,train,3,8,1,0,1038.0
185.71,train,3,1,0,0,1236.0
12.67,tuk,1,20,0,0,1536.0
128.26,taxi,4,22,0,0,17618.0
18.13,tuk,1,1,0,0,2035.0
114.75,bus,2,9,1,0,784.0
12.07,tuk,1,12,0,0,1301.0
148.25,train,3,18,1,0,990.0
19.48,tuk,1,23,0,0,2246.0
0.55,walk,0,9,1,0,0.0
20.42,bus,2,17,1,1,214.0
50.03,taxi,4,22,0,0,8195.0
323.5,train,3,19,1,0,1840.0
333.04,train,3,6,0,0,1565.0
218.63,train,3,19,1,1,1449.0
238.92,train,3,9,1,0,1454.0
94.31,bus,2,0,0,1,564.0
8.13,tuk,1,18,1,0,918.0
61.36,train,3,20,0,0,489.0
192.88,bus,2,8,1,0,1176.0
25.46,bus,2,10,0,1,260.0
1.87,walk,0,8,1,0,0.0
80.19,train,3,2,0,0,506.0
19.51,tuk,1,23,0,0,2259.0
139.44,train,3,0,0,0,933.0
9.71,tuk,1,13,0,0,1165.0
10.33,tuk,1,0,0,0,1116.0
149.37,train,3,16,0,1,872.0
19.01,tuk,1,21,0,0,2080.0
13.92,tuk,1,15,0,0,1544.0
73.04,bus,2,14,0,0,483.0
88.42,train,3,19,1,0,518.0
13.51,tuk,1,23,0,0,1479.0
17.95,tuk,1,20,0,0,1899.0
118.28,train,3,5,0,0,792.0
49.35,taxi,4,13,0,0,7553.0
138.32,bus,2,19,1,0,917.0
14.14,tuk,1,7,1,0,1666.0
1.0,walk,0,16,0,0,0.0
4.24,tuk,1,0,0,0,580.0
11.9,tuk,1,21,0,0,1294.0
207.87,bus,2,14,0,0,1305.0
11.55,tuk,1,17,1,0,1428.0
208.84,bus,2,19,1,0,1070.0
17.43,bus,2,5,0,1,248.0
133.74,bus,2,10,0,1,750.0
3.85,tuk,1,20,0,0,607.0
139.92,train,3,3,0,0,741.0
127.0,train,3,19,1,0,746.0
150.77,train,3,6,0,0,931.0
8.48,tuk,1,13,0,0,1030.0
11.54,tuk,1,12,0,0,1226.0
72.58,train,3,16,0,0,507.0
143.65,bus,2,20,0,0,841.0
1.69,tuk,1,8,1,0,345.0
190.4,bus,2,4,0,2,1226.0
149.12,bus,2,10,0,1,1039.0
108.32,taxi,4,14,0,0,17429.0
13.87,tuk,1,18,1,0,1600.0
113.62,train,3,18,1,0,790.0
0.73,walk,0,8,1,0,0.0
27.91,bus,2,22,0,0,222.0
88.96,bus,2,1,0,0,493.0
12.05,tuk,1,2,0,0,1244.0
17.7,tuk,1,0,0,0,2030.0
197.08,bus,2,22,0,0,1335.0
115.8,taxi,4,4,0,0,16608.0
106.12,bus,2,14,0,1,664.0
51.99,train,3,19,1,0,366.0
341.32,train,3,18,1,0,2098.0
165.65,bus,2,22,0,0,1044.0
297.63,train,3,1,0,0,1538.0
1.09,walk,0,9,1,0,0.0
7.54,tuk,1,12,0,0,908.0
154.53,train,3,16,0,0,799.0
165.51,train,3,14,0,0,816.0
16.63,tuk,1,13,0,0,1872.0
210.35,bus,2,7,1,1,1360.0
55.72,bus,2,2,0,1,479.0
191.46,train,3,10,0,0,1122.0
9.48,bus,2,6,0,1,142.0
